Name,Internal Reference,Sales Price,Cost,Product Category,Vendor,Description,Barcode,Product Type,External ID
LAVAVAJILLAS CORBERO 60CM INOX,CLVM7723X,389.0,235.48,,ALMCE,,,Storable Product,ALMCE_CLVM7723X
MINIBAR NEGRO CORBERÓ,ECFMMB42BL,149.0,93.55,,ALMCE,,,Storable Product,ALMCE_ECFMMB42BL
FRIGO. 1P 85CM BLANCO CANDY,CCTOS544W,235.0,147.15,Frigoríficos,ALMCE,,,Storable Product,ALMCE_CCTOS544W
FRIG 1P BENAVENT,F1PBHW143,269.0,166.77,,ALMCE,,,Storable Product,ALMCE_F1PBHW143
"FRIG. 1 PUERTA CORBERÓ 1,43CM",CCLH14322W,279.0,186.02,,ALMCE,,,Storable Product,ALMCE_CCLH14322W
FRIG 2P. CORBERÓ RETRO ROJO ,ECF2PG148RR,389.0,279.57,,ALMCE,,,Storable Product,ALMCE_ECF2PG148RR
"FRIGO 2P. BENAVENT 1,60X55 - BLANCO",F2PBVEW160,290.0,170.97,Frigoríficos,ALMCE,,,Storable Product,ALMCE_F2PBVEW160
COMBI BENAVENT NO FROST 1.76X55-BLANCO,CBME176550NFEW,355.0,215.05,,ALMCE,,,Storable Product,ALMCE_CBME176550NFEW
COMBI BENAVENT 185X60 NF INOX,CBM185EX,389.0,256.1,,ALMCE,,,Storable Product,ALMCE_CBM185EX
COMBI CORBERO NF CRISTAL BLANCO,CCHGL185NFW,629.0,376.34,,ALMCE,,,Storable Product,ALMCE_CCHGL185NFW
COMBI CORBERÓ BLANCO 2M,CCH200322NFW,499.0,327.96,,ALMCE,,,Storable Product,ALMCE_CCH200322NFW
COMBI CANDY INOX 2M,CCE4T620EX,559.0,373.48,,ALMCE,,,Storable Product,ALMCE_CCE4T620EX
COMBI NF BALAY NEGRO CRISTAL,3KFE768BI,1099.0,767.42,,ALMCE,,,Storable Product,ALMCE_3KFE768BI
COMBI BENAVENT INOX,CBM200EX,469.0,279.57,,ALMCE,,,Storable Product,ALMCE_CBM200EX
COMBI BENAVENT BLACNO 2M,CBM200EW,479.0,268.82,,ALMCE,,,Storable Product,ALMCE_CBM200EW
AMERICANO CORBERÓ NF 442L INOX,CFSBSH730NFX,599.0,376.34,Frigoríficos,ALMCE,,,Storable Product,ALMCE_CFSBSH730NFX
