default_code,name,type,standard_price,list_price,categ_id,supplier_id,active,sale_ok,purchase_ok
CLVM7723W,LAVAVAJILLAS CORBERO 60CM BLANCO,consu,224.73,379.0,,ALMCE,True,True,True
CLVM7723X,LAVAVAJILLAS CORBERO 60CM INOX,consu,235.48,389.0,,ALMCE,True,True,True
ECFMMB42BL,MINIBAR NEGRO CORBERÓ,consu,93.55,149.0,,ALMCE,True,True,True
CCTOS544W,FRIGO. 1P 85CM BLANCO CANDY,consu,147.15,235.0,Frigoríficos,ALMCE,True,True,True
F1PBHW143,FRIG 1P BENAVENT,consu,166.77,269.0,,ALMCE,True,True,True
CCLH14322W,"FRIG. 1 PUERTA CORBERÓ 1,43CM",consu,186.02,279.0,,ALMCE,True,True,True
ECF2PG148RR,FRIG 2P. CORBERÓ RETRO ROJO ,consu,279.57,389.0,,ALMCE,True,True,True
F2PBVEW160,"FRIGO 2P. BENAVENT 1,60X55 - BLANCO",consu,170.97,290.0,Frigoríficos,ALMCE,True,True,True
CBME176550NFEW,COMBI BENAVENT NO FROST 1.76X55-BLANCO,consu,215.05,355.0,,ALMCE,True,True,True
CBM185EX,COMBI BENAVENT 185X60 NF INOX,consu,256.1,389.0,,ALMCE,True,True,True
CCHGL185NFW,COMBI CORBERO NF CRISTAL BLANCO,consu,376.34,629.0,,ALMCE,True,True,True
CCH200322NFW,COMBI CORBERÓ BLANCO 2M,consu,327.96,499.0,,ALMCE,True,True,True
CCE4T620EX,COMBI CANDY INOX 2M,consu,373.48,559.0,,ALMCE,True,True,True
3KFE768BI,COMBI NF BALAY NEGRO CRISTAL,consu,767.42,1099.0,,ALMCE,True,True,True
CBM200EX,COMBI BENAVENT INOX,consu,279.57,469.0,,ALMCE,True,True,True
CBM200EW,COMBI BENAVENT BLACNO 2M,consu,268.82,479.0,,ALMCE,True,True,True
CFSBSH730NFX,AMERICANO CORBERÓ NF 442L INOX,consu,376.34,599.0,Frigoríficos,ALMCE,True,True,True
AA18900FNF,AMERICANO ASPES NO FROST,consu,445.89,589.0,Frigoríficos,ALMCE,True,True,True
ECFFDH339NFXINV,COMBI CORBERÓ 320L CAJONES,consu,434.41,589.0,,ALMCE,True,True,True
CSVE710W,SECADORA CORBERO EVACUACION 7KG,consu,175.3,289.0,Secadoras,ALMCE,True,True,True
CSEC8LFS,SECADORA CANDY CONDENSACION  8KG,consu,213.57,345.0,Secadoras,ALMCE,True,True,True
FIDCN100,HORNO CANDY 70L,consu,131.86,209.0,Hornos,ALMCE,True,True,True
CCHM703X,HORNO CORBERÓ 65L CRISTAL NEGRO,consu,129.0,239.0,Hornos,ALMCE,True,True,True
CCHMD803N,HORNO MF CORBERÓ 70L CRISTAL NEGRO,consu,153.23,279.0,Hornos,ALMCE,True,True,True
CCHMD807XG,HORNO MF CORBERÓ INOX MF,consu,158.06,295.0,Hornos,ALMCE,True,True,True
BBSE12120X,CONJUNTO BEKO INOX HORNO+VITRO,consu,256.7,375.0,Hornos,ALMCE,True,True,True
HO392,MINO HORNO ORBEGOZO 39L NEGRO,consu,63.45,95.0,Hornos,ALMCE,True,True,True
GM15310DB,COCINA+HORNO NEGRO GRANDE,consu,394.61,649.0,Hornos,ALMCE,True,True,True
VBBR360,VITROCERAMICA BENAVENT 3FUEGOS,consu,80.65,159.0,,ALMCE,True,True,True
IBB360,INDUCCIÓN BENAVENT 3FUEGOS,consu,106.45,199.0,,ALMCE,True,True,True
CH63CC4U2,VITROCERAMICA 3FUEGOS,consu,101.14,169.0,,ALMCE,True,True,True
CCVG2902D,VITRO CORBERO 2F,consu,70.59,110.0,,ALMCE,True,True,True
CPCGY2313W,PLACA GAS CORBERÓ CRISTAL BLANCO 3F,consu,91.4,149.0,Placas,ALMCE,True,True,True
CCVG8322,VITRO 3F CORBERO,consu,95.7,195.0,,ALMCE,True,True,True
CCIG9422,INDUCCION CORBERO 4 FUEGOS,consu,133.94,215.0,Placas,ALMCE,True,True,True
CCVM300,INDUCCIÓN CORBERO 3 FUEGOS,consu,109.59,249.0,,ALMCE,True,True,True
CCIG9322,INDUCCION CORBERO 3 FUEGOS,consu,135.86,249.0,Placas,ALMCE,True,True,True
CCIM3374SL,INDUCCION CORBERO 3 FUEGOS,consu,162.06,259.0,Placas,ALMCE,True,True,True
CCIG3BL604,INDUCCION CORBERO 3 FUEGOS,consu,123.86,199.0,Placas,ALMCE,True,True,True
AV3600,VITRO ASPES 5700W,consu,100.0,160.0,,ALMCE,True,True,True
SV2300,VITROCERÁMICA 2FUEGOS 3000W,consu,63.53,99.0,,ALMCE,True,True,True
GG633B,"PLACA GAS HISENSE CRISTAL NEGRO, 3F",consu,96.59,160.0,Placas,ALMCE,True,True,True
CVBH8448,CONGELADOR VERT BENAVENT 84X48 3C,consu,95.79,189.0,,ALMCE,True,True,True
CHBME300DINV,CONGELADOR ARCÓN BENAVENT 299L,consu,203.23,329.0,,ALMCE,True,True,True
CCHH20023E,CONGELADOR HORIZONTAL 198L,consu,163.53,265.0,,ALMCE,True,True,True
CCHV17023NFX,CONG VERTICAL CORBERÓ 1.70M NO FROST,consu,448.76,469.0,,ALMCE,True,True,True
VTCLASSIC105,VENTILADOR TECHO FM,consu,42.49,60.0,,ALMCE,True,True,True
SB140,VENTILADOR SOBREMESA FM,consu,26.69,40.0,,ALMCE,True,True,True
TOCAQH12F,CALEFACTOR MURAL TOSGO,consu,10.52,15.0,,ALMCE,True,True,True
CMICM4020W,MICROONDAS CORBERÓ 20L 700W,consu,34.31,69.0,Microondas,ALMCE,True,True,True
CMICM5020GW,MICROOONDAS CORBERÓ BLANCO ,consu,47.06,75.0,Microondas,ALMCE,True,True,True
CMICM6020GX,MICROONDAS CORBERÓ 20L 700W,consu,67.74,99.0,Microondas,ALMCE,True,True,True
CMICG270WOODN,MICROONDAS CORBERÓ VINTAGE ,consu,51.77,89.0,Microondas,ALMCE,True,True,True
CMXG20DS,MICROONDAS CANDY,consu,72.57,110.0,Microondas,ALMCE,True,True,True
55P61B,"TV LED TCL 55""",consu,248.91,399.0,Televisores,ALMCE,True,True,True
FG152832,CAFETERA MOULINEX,consu,22.18,35.0,Cafeteras,ALMCE,True,True,True
1555,CAFETERA COFFE 66 SMART,consu,28.88,40.0,Cafeteras,ALMCE,True,True,True
1503,CAFETERA CECOTEC POWER EXPRES 20,consu,45.64,69.0,Cafeteras,ALMCE,True,True,True
KFI1260,CAFETERA INOX ORBEGOZO INDUC 12T,consu,14.78,30.0,Cafeteras,ALMCE,True,True,True
BHCA94640BH,CAMPANA BEKO - 90CM - CRISTAL ,consu,163.78,245.0,,ALMCE,True,True,True
BHCB96641BBHS,CAMPANA BEKO - 90CM   ,consu,163.78,329.0,,ALMCE,True,True,True
CCSC60222CVW,CAMPANA CORBERÓ BLANCO 67W,consu,39.78,59.0,,ALMCE,True,True,True
VICTORIA960W,CAMPANA CRISTAL BLANCO 60CM,consu,145.88,0.0,,ALMCE,True,True,True
CMB655XGG,CAMPANA CANDY - 60CM - INOX,consu,112.27,169.0,,ALMCE,True,True,True
CVMA90W,CAMPANA CANDY - 90CM - BLANCA,consu,257.73,279.0,,ALMCE,True,True,True
CCE1171X,CAMPANA CANDY - 70CM - INOX,consu,87.8,149.0,,ALMCE,True,True,True
CERTOSAIXA90PB,CAMPANA INOX 90CM,consu,85.25,135.0,,ALMCE,True,True,True
